File,Otsu_Count,Otsu_G,Otsu_Carbon,Otsu_MeanArea,Watershed_Count,Watershed_G,Watershed_Carbon,Watershed_MeanArea
Duplex Stainless  Steel\MB DSSx200-3.jpg,103,3.7366452604705813,0.12269619140624999,1583.504854368932,127,4.038835961015688,0.12269619140624999,902.5748031496063
Duplex Stainless  Steel\MB DSSx200-4.jpg,113,3.8703265892519196,0.190334375,1307.796460176991,140,4.179437334523107,0.190334375,737.7714285714286
Duplex Stainless  Steel\MB DSSx200.jpg,83,3.4251774228733174,0.0029075520833333336,1590.686746987952,117,3.9205134327207487,0.0029075520833333336,806.2478632478633
Duplex Stainless  Steel\MB DSSx500-1.jpg,68,3.137594608010117,0.007745117187500001,2346.529411764706,103,3.7366452604705813,0.007745117187500001,1472.126213592233
Duplex Stainless  Steel\MB DSSx500-2.jpg,49,2.664831377854722,0.013088997395833333,3009.0408163265306,104,3.750584753150548,0.013088997395833333,1325.8076923076924
Duplex Stainless  Steel\MB DSSx500-3.jpg,30,1.956996808178718,0.0328904296875,6638.5,85,3.45952967122288,0.0328904296875,2257.741176470588
Duplex Stainless  Steel\MB DSSx500-4.jpg,40,2.372043291191491,0.031647200520833335,3903.225,113,3.8703265892519196,0.031647200520833335,1276.9734513274336
Duplex Stainless  Steel\MB DSSx500.jpg,48,2.6350833905617,0.0017495442708333334,2458.625,64,3.0501298735744724,0.0017495442708333334,1755.46875
Duplex Stainless  Steel\MB-Duplexx200.jpg,29,1.908086149020332,0.4440709309895833,4769.724137931034,123,3.9926647802016806,0.4440709309895833,854.430894308943
Duplex Stainless  Steel\MB1.jpg,22,1.5095281456913687,0.09526243489583333,7424.227272727273,105,3.764390851510335,0.09526243489583333,1444.647619047619
Duplex Stainless  Steel\MB2.jpg,24,1.635061744965955,0.14990686848958332,6386.375,126,4.027430950880544,0.14990686848958332,1076.5238095238096
Duplex Stainless  Steel\MB3.jpg,29,1.908086149020332,0.20811305338541666,6226.931034482759,99,3.6795001164530605,0.20811305338541666,1699.2828282828282
Duplex Stainless  Steel\MB4.jpg,25,1.6939567088085088,0.2760444986979167,6508.04,121,3.9690130001912474,0.2760444986979167,1240.190082644628
Duplex Stainless  Steel\MB5.jpg,22,1.5095281456913687,0.7569912109375001,6703.409090909091,122,3.980887357501514,0.7569912109375001,1136.860655737705
Duplex Stainless  Steel\MBX200+ech.jpg,111,3.844562935529276,0.3901615315755208,5314.378378378378,507,6.036036440905343,0.3901615315755208,1018.4003944773176
